Model,Parameter,MAE,RMSE,R2
RF,latitude,0.029590957253387746,0.03439121072360417,0.9503704932601161
RF,longitude,0.07908759179157435,0.09192462437778381,0.9504168361931542
RF,altitude,1734.5786597863134,2032.192251939929,0.9152976950878411
XGB,latitude,0.03268638647796278,0.03799267093797469,0.939431798119382
XGB,longitude,0.08740970729235345,0.10159953652093212,0.9394305039156994
XGB,altitude,1890.0443070023148,2178.780864712987,0.902637243270874
LGBM,latitude,0.03452179700665662,0.03959191032134147,0.9342254413485299
LGBM,longitude,0.09231678155866202,0.1058750717965415,0.934225441348538
LGBM,altitude,1823.0044911182797,2124.433621828002,0.9074338974919388
